creator_name,number_courses,avg_rating,courses_names,courses_ref
University of Maryland,4,3.55,Framework for Data Collection and Analysis -- Dealing With Missing Data -- Combining and Analyzing Complex Data -- Survey Data Collection and Analytics Project (Capstone),https://www.coursera.org/learn/data-collection-framework -- https://www.coursera.org/learn/missing-data -- https://www.coursera.org/learn/data-collection-analytics-project -- https://www.coursera.org/learn/survey-data-capstone
College Park,4,3.55,Framework for Data Collection and Analysis -- Dealing With Missing Data -- Combining and Analyzing Complex Data -- Survey Data Collection and Analytics Project (Capstone),https://www.coursera.org/learn/data-collection-framework -- https://www.coursera.org/learn/missing-data -- https://www.coursera.org/learn/data-collection-analytics-project -- https://www.coursera.org/learn/survey-data-capstone
University of Michigan,9,4.19,"Data Collection: Online, Telephone and Face-to-face -- Questionnaire Design for Social Surveys -- Sampling People, Networks and Records -- Survey Data Collection and Analytics Project (Capstone) -- Introduction to Data Science in Python -- Applied Plotting, Charting & Data Representation in Python -- Applied Machine Learning in Python -- Applied Text Mining in Python -- Applied Social Network Analysis in Python",https://www.coursera.org/learn/data-collection-methods -- https://www.coursera.org/learn/questionnaire-design -- https://www.coursera.org/learn/sampling-methods -- https://www.coursera.org/learn/survey-data-capstone -- https://www.coursera.org/learn/python-data-analysis -- https://www.coursera.org/learn/python-plotting -- https://www.coursera.org/learn/python-machine-learning -- https://www.coursera.org/learn/python-text-mining -- https://www.coursera.org/learn/python-social-network-analysis
University of California San Diego,17,4.54,Algorithmic Toolbox -- Data Structures -- Algorithms on Graphs -- Algorithms on Strings -- Advanced Algorithms and Complexity -- Genome Assembly Programming Challenge -- Introduction to Big Data -- Big Data Modeling and Management Systems -- Big Data Integration and Processing -- Machine Learning With Big Data -- Graph Analytics for Big Data -- Big Data - Capstone Project -- Object Oriented Programming in Java -- Data Structures and Performance -- Advanced Data Structures in Java -- Mastering the Software Engineering Interview -- Capstone: Analyzing (Social) Network Data,https://www.coursera.org/learn/algorithmic-toolbox -- https://www.coursera.org/learn/data-structures -- https://www.coursera.org/learn/algorithms-on-graphs -- https://www.coursera.org/learn/algorithms-on-strings -- https://www.coursera.org/learn/advanced-algorithms-and-complexity -- https://www.coursera.org/learn/assembling-genomes -- https://www.coursera.org/learn/big-data-introduction -- https://www.coursera.org/learn/big-data-management -- https://www.coursera.org/learn/big-data-integration-processing -- https://www.coursera.org/learn/big-data-machine-learning -- https://www.coursera.org/learn/big-data-graph-analytics -- https://www.coursera.org/learn/big-data-project -- https://www.coursera.org/learn/object-oriented-java -- https://www.coursera.org/learn/data-structures-optimizing-performance -- https://www.coursera.org/learn/advanced-data-structures -- https://www.coursera.org/learn/cs-tech-interview -- https://www.coursera.org/learn/intermediate-programming-capstone
National Research University Higher School of Economics,6,4.57,Algorithmic Toolbox -- Data Structures -- Algorithms on Graphs -- Algorithms on Strings -- Advanced Algorithms and Complexity -- Genome Assembly Programming Challenge,https://www.coursera.org/learn/algorithmic-toolbox -- https://www.coursera.org/learn/data-structures -- https://www.coursera.org/learn/algorithms-on-graphs -- https://www.coursera.org/learn/algorithms-on-strings -- https://www.coursera.org/learn/advanced-algorithms-and-complexity -- https://www.coursera.org/learn/assembling-genomes
University of Illinois at Urbana-Champaign,12,4.38,"Data Visualization -- Text Retrieval and Search Engines -- Text Mining and Analytics -- Pattern Discovery in Data Mining -- Cluster Analysis in Data Mining -- Data Mining Project -- Cloud Computing Concepts, Part 1 -- Cloud Computing Concepts: Part 2 -- Cloud Computing Applications, Part 1: Cloud Systems and Infrastructure -- Cloud Computing Applications, Part 2: Big Data and Applications in the Cloud -- Cloud Networking -- Cloud Computing Project",https://www.coursera.org/learn/datavisualization -- https://www.coursera.org/learn/text-retrieval -- https://www.coursera.org/learn/text-mining -- https://www.coursera.org/learn/data-patterns -- https://www.coursera.org/learn/cluster-analysis -- https://www.coursera.org/learn/data-mining-project -- https://www.coursera.org/learn/cloud-computing -- https://www.coursera.org/learn/cloud-computing-2 -- https://www.coursera.org/learn/cloud-applications-part1 -- https://www.coursera.org/learn/cloud-applications-part2 -- https://www.coursera.org/learn/cloud-networking -- https://www.coursera.org/learn/cloud-computing-project
Yandex,5,4.03,"Big Data Essentials: HDFS, MapReduce and Spark RDD -- Big Data Analysis: Hive, Spark SQL, DataFrames and GraphFrames -- Big Data Applications: Machine Learning at Scale -- Big Data Applications: Real-Time Streaming -- Big Data Services: Capstone Project",https://www.coursera.org/learn/big-data-essentials -- https://www.coursera.org/learn/big-data-analysis -- https://www.coursera.org/learn/machine-learning-applications-big-data -- https://www.coursera.org/learn/real-time-streaming-big-data -- https://www.coursera.org/learn/big-data-services
Wesleyan University,5,4.4,Data Management and Visualization -- Data Analysis Tools -- Regression Modeling in Practice -- Machine Learning for Data Analysis -- Data Analysis and Interpretation Capstone,https://www.coursera.org/learn/data-visualization -- https://www.coursera.org/learn/data-analysis-tools -- https://www.coursera.org/learn/regression-modeling-practice -- https://www.coursera.org/learn/machine-learning-data-analysis -- https://www.coursera.org/learn/data-analysis-capstone
Arizona State University,9,3.65,Core Database Concepts -- Distributed Database Systems -- NoSQL Database Systems -- Big Data Tools -- Data Management in the Cloud -- Introduction to Data Exploration and Visualization -- Multivariate and Geographical Data Analysis -- Temporal and Hierarchical Data Analysis -- Additional Tools Used for Data Visualization,https://www.coursera.org/learn/core-database -- https://www.coursera.org/learn/distributed-database -- https://www.coursera.org/learn/nosql-database-systems -- https://www.coursera.org/learn/big-data-tools -- https://www.coursera.org/learn/data-management-cloud -- https://www.coursera.org/learn/intro-to-data-exploration -- https://www.coursera.org/learn/multivariate-geographical-analysis -- https://www.coursera.org/learn/temporal-and-hierarchical-analysis -- https://www.coursera.org/learn/data-visualization-tools
PwC,5,4.66,Data-driven Decision Making -- Problem Solving with Excel -- Data Visualization with Advanced Excel -- Effective Business Presentations with Powerpoint -- Data Analysis and Presentation Skills: the PwC Approach Final Project,https://www.coursera.org/learn/decision-making -- https://www.coursera.org/learn/excel-analysis -- https://www.coursera.org/learn/advanced-excel -- https://www.coursera.org/learn/powerpoint-presentations -- https://www.coursera.org/learn/data-analysis-project-pwc
Google Cloud,0,NaN,,
University of Washington,4,4.02,Data Manipulation at Scale: Systems and Algorithms -- Practical Predictive Analytics: Models and Methods -- Communicating Data Science Results -- Data Science at Scale - Capstone Project,https://www.coursera.org/learn/data-manipulation -- https://www.coursera.org/learn/predictive-analytics -- https://www.coursera.org/learn/data-results -- https://www.coursera.org/learn/datasci-capstone
